published_datetime,published_time,publisher,scraped_at,thumbnail_url
2025-06-02T15:14:01.040391,18 hours ago,Exclusive | Meta Aims to Fully Automate Ad Creation Using AI,2025-06-03T09:14:01.037395,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.wsj.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-02T20:14:01.044387,13 hours ago,"Meta aims to fully automate advertising with AI by 2026, WSJ reports",2025-06-03T09:14:01.042390,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.reuters.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-02T17:14:01.046900,16 hours ago,Facebook and Instagram owner Meta to enable AI ad creation by end of next year,2025-06-03T09:14:01.044387,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.theguardian.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-02T18:14:01.048901,15 hours ago,Nvidia rival Groq makes a bold prediction on what's next for AI,2025-06-03T09:14:01.046900,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://finance.yahoo.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-03T08:41:01.050901,33 minutes ago,TSMC says tariffs have some impact but AI demand robust,2025-06-03T09:14:01.049897,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.reuters.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-03T09:02:01.052896,12 minutes ago,AI Pioneer Launches Research Group to Help Build Safer Agents,2025-06-03T09:14:01.051898,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.bloomberg.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-03T08:14:01.055898,1 hour ago,CBS News Texas' Eye on Health explores AI’s growing impact on healthcare access,2025-06-03T09:14:01.053895,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.cbsnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-01T09:14:01.057895,2 days ago,How far will AI go to defend its own survival?,2025-06-03T09:14:01.055898,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.nbcnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-03T00:14:01.059897,9 hours ago,FDA Launches Agency-Wide AI Tool to Optimize Performance for the American People,2025-06-03T09:14:01.057895,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.fda.gov&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-06-02T23:14:01.061896,10 hours ago,"Barack Obama and Steve Bannon agree on something: AI's role in American jobs, politics",2025-06-03T09:14:01.060897,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.usatoday.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
