analysis,sentiment
Subscribe the channel for more cricket videos.,NEGATIVE
Allah kry asa match dobara dakhna naseeb ho....Ameen,NEGATIVE
Who is watching for king Amir,POSITIVE
"This is an unforgettable match between Pak vs Ind in whole cricket history...In this squad, every single person nailed it...",POSITIVE
Pakistan Zindabad Bohat He Panta Lagayan Hai Indian Team Ko ODI Mein Aur Tests Mein Ham Hai India Kay Baap Alhamdulillah,POSITIVE
Shaheen Afridi Haris rauf kabhi aaisi performance nahi dai sakte,NEGATIVE
I remember this match durning the ramadan in 2017 and I was blessed by watching first time that Pakistan's win against India.🇧🇩,POSITIVE
Lagta hay aus din match fix nahin ho saka tha aur Pakistan ko khul ker khelnay ki ijazat mil gaiy. Hats off to great Captain Sarfaraz Ahmed.,POSITIVE
Isko kehte he captani love u sirfarz bhai dil khush kardiya i love amir bhai,POSITIVE
What a champion bowler Mohammad Amir is.. the way he Catch out kohli 2 chance is aww,NEGATIVE
Jab bhi india p ghusa ata hai ma ya match ki highlight daikh laita hnu🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰,NEGATIVE
Getting one of the world’s best batsmen Kohli out twice in 2 balls shows the class of M Amir and makes you wonder what he might have delivered had he not lost those years due to the ban,POSITIVE
"Congratulations to Pakistan 
Love from Bangladesh 🇧🇩🇧🇩",POSITIVE
یہ میچ انڈیا کے لئے ایک ڈراؤنا خواب ہے جو انڈیا کو ساری زندگی آتا رہے گا اور ڈراتا رہے گا,NEGATIVE
Muhammad Aamir demolished the Indian batting line up. What a  champion bowler he is!,POSITIVE
Sarfaraz is such a good captain I wish surfaraz led the team in 2025,POSITIVE
Watching this memorable match in 2025 while PAK cricket is totally declining in gutter. This is the last pak talented and strongest team.,POSITIVE
"ভারতকে হারিয়ে কাপ জিতেছিল পাকিস্তান, এই খেলাটি আমি দেখেছিলাম পাকিস্তানের সাথে ভারত দাঁড়াতেই পারিনি🇵🇰🇵🇰🇧🇩🇧🇩 পাবনা বাংলাদেশ থেকে",POSITIVE
Kash aisi team abhi bhi hoti 2025 main Mohammad amir is the best.,POSITIVE
Who is watching in 2025 February,POSITIVE
This Pakistan team Need this type of confidence and agreesion,NEGATIVE
Great captain sarfaraz Ahmed legacy,POSITIVE
"Look at the team Just Great opening pair ,  Babar At Very Decent Form And Best Middle order 2 spinners at their Peak And fast Bowlers Are just mind blowing beautiful old Days miss them a lot also after seeing the present situation of PCT",POSITIVE
Brilliant win by Pakistan,POSITIVE
وہ انڈیا کا رونا آج بھی نہیں بولے,NEGATIVE
یہی ٹیم اب ہوتا تو مزہ آجاتا,NEGATIVE
Allah kya acha khelta tha Pakistan 🇵🇰 us waqt or ab dekho,NEGATIVE
You India  became the champion until the champion trophy is won again.,POSITIVE
"Amir , Farkhan , Hafeez has played  awesome unforgettable innings",POSITIVE
Muhammad Amir night mare for India️,POSITIVE
We know india beat Pakistan many times but this defeat in final for india is bestest,NEGATIVE
2017 Champions Pakistan Alhamdulillah.... But Dada Babu Eid Mubarak,POSITIVE
Amir is really deserving player even though currently moments,POSITIVE
"An Brilliant bowler Mohammad Amir️🇵🇰️🇧🇩
Salute King Bro🫡",POSITIVE
Mohammad Amir Love From Bangladesh,POSITIVE
"Champion of the champions.  this victory wasn't smaller than world cup 92 but since it happened to be Sarfaraz, a Karachi bloke, it wasn't celebrated at a large scale.  Even after 32 years, our retired cricketers and sports media don't get tired of talking the world cup 92 but the Champions trophy 2017 is not remembered with same spirit.  Sarfaraz had many years to serve his country but sidelined by the culprits.  Today's Pakistan cricket is completely doomed off.  What a shame.",NEGATIVE
Amir took Virat for two times.......what an amazing talent......bowling with mind,POSITIVE
Pakistan bhi kisi se kam nahinThanks for showing us these incredible highlights repair lab,POSITIVE
"India ..... Kholi, Dhoni, Rohit, Dhavan, Uvraj, pandya, jadega, phir bi haar gy
Pakistan..... Fakhar, Hafeez, Amir, Sarfraz, Babar, Malik, Hasan shadab performance",POSITIVE
Miss you legendary team with legend caption sarfraz,POSITIVE
